site_id,timezone,country_code,location
0,US/Eastern,US,"Orlando, FL"
1,Europe/London,UK,"UK, Southampton"
2,US/Mountain,US,"Tempe, AZ"
3,US/Eastern,US,"Washington, WA"
4,US/Pacific,US,"San Francisco, CA"
5,Europe/London,UK,"UK, London (or Loughborugh?)"
6,US/Eastern,US,"Philadelphia?, PA"
7,Canada/Eastern,CA,Montreal/Ottawa
8,US/Eastern,US,"Orlando, FL"
9,US/Central,US,"Austin, Texas"
10,US/Mountain,US,"Las Vegas?, NV"
11,Canada/Eastern,CA,Montreal/Ottawa
12,Europe/Dublin,IE,Ireland
13,US/Central,US,"Twin Cities, MN"
14,US/Eastern,US,"Charlottesville, VA"
15,US/Eastern,US,"Pittsburgh?, PA"
